Jaar,Waarneming 1 uur,Waarneming 1 dag,Waarneming 10 dagen,Trendlijn 1 uur,Trendlijn 1 dag,Trendlijn 10 dagen
2005.0,29.8,37.4,103.4,19.41,36.625,92.264
2006.0,18.1,37.3,90.0,19.527,36.668,92.404
2007.0,24.7,40.3,88.2,19.645,36.71,92.544
2008.0,17.09,36.4,86.3,19.763,36.753,92.684
2009.0,31.98,61.8,98.5,19.881,36.796,92.824
2010.0,24.17,53.9,130.8,19.999,36.838,92.964
2011.0,37.34,44.3,116.8,20.117,36.881,93.104
2012.0,20.4,43.5,84.6,20.236,36.923,93.243
2013.0,19.95,37.8,79.8,20.354,36.966,93.383
2014.0,18.74,36.5,85.1,20.472,37.008,93.523
2015.0,19.32,31.5,64.7,20.59,37.051,93.663
2016.0,18.75,36.7,101.8,20.708,37.093,93.803
2017.0,17.11,22.5,80.6,20.826,37.136,93.943
2018.0,27.53,33.3,57.1,20.945,37.178,94.083
2019.0,11.54,32.8,80.0,21.064,37.221,94.223
2020.0,14.33,38.0,112.9,21.182,37.263,94.363
2021.0,30.32,57.8,105.1,21.301,37.306,94.503
2022.0,21.12,23.4,84.5,21.42,37.349,94.643
2023.0,15.57,38.0,93.6,21.54,37.391,94.783
2024.0,29.73,43.5,86.21,21.659,37.434,94.923
